Galaxy,N_points,chi2_N,RMS_km/s,Quality
UGC07603,12,419.40801823618597,37.39019560598678,Poor
UGC12632,15,1836.690538278284,84.06984971605463,Poor
UGCA442,8,1410.9646855999147,65.060695176118,Poor
NGC2955,24,191.4606644776425,94.54370070463402,Poor
UGC07232,4,85.10054791585479,13.046114204302734,Poor
UGC03205,48,180.64383977476854,80.91073491987049,Poor
F583-1,25,1193.685745485784,75.5936305455397,Poor
NGC4068,6,664.8618266861097,42.10658940312025,Poor
UGC07323,10,531.8099271132597,45.74621720533643,Poor
UGC05253,73,373.70108923949465,135.3141330427626,Poor
F583-4,12,1384.281056593794,68.50159356997514,Poor
UGC06614,13,583.1749611865944,133.0950770472598,Poor
NGC0024,29,103.47415908219836,30.84040330026671,Poor
DDO168,10,735.60494047209,48.5173763667275,Poor
UGC05750,11,2898.775716721402,106.64246400422392,Poor
UGC05005,11,3223.425118188632,136.8749735883341,Poor
UGC06818,8,1367.7813019397283,66.28912946763833,Poor
F568-V1,15,372.8309749767524,60.01231785463036,Poor
UGC06667,9,739.8480544535922,57.04899409233376,Poor
UGC05999,5,2712.8084471746856,110.66519847520907,Poor
F568-1,12,169.92410329798471,41.948333077651625,Poor
NGC2976,27,32.89370873191875,11.074599486458608,Poor
F571-V1,7,2417.223905935753,98.92002379129917,Poor
F563-V2,10,237.6321512046296,45.682830881316725,Poor
UGC02953,115,355.1150039387131,147.76249050451992,Poor
F567-2,5,4285.901566433474,101.42072647856718,Poor
NGC3726,12,529.5693861147089,102.87891608643429,Poor
NGC0100,21,769.6111361714053,64.67647681178317,Poor
UGC09992,5,1600.4900121348826,61.97722185709616,Poor
UGC06786,45,210.84762868828253,84.99544628808589,Poor
UGC06917,11,413.98324720571765,56.42811867380799,Poor
ESO563-G021,30,61.55137192294448,59.585732130083755,Poor
NGC0247,26,950.8003865978545,83.87849785527108,Poor
F574-2,5,6563.430774207249,125.50790356825102,Poor
UGC06399,9,701.7405813227003,56.11901782904945,Poor
F568-3,18,856.7819729735753,78.4837622268288,Poor
UGC07524,31,1278.6623518195809,77.96208493023427,Poor
UGC05721,23,263.39710952654116,36.59974784097256,Poor
UGC05716,12,2277.37529523605,93.94040654040909,Poor
UGC07151,11,478.63293855374275,42.58107013255144,Poor
UGC03546,30,322.4953662318109,116.074501048185,Poor
NGC0055,21,1556.9989005573862,91.92264275366338,Poor
UGC06973,9,112.17707408995594,48.035851989894056,Poor
F574-1,14,794.7936622628964,73.5657982709487,Poor
NGC3769,12,1854.4715597206887,138.46599849916186,Poor
ESO444-G084,7,491.17697916622603,37.46148418866755,Poor
F561-1,6,3812.655776703734,100.83194965490827,Poor
UGC07559,7,838.7054456260506,48.9520303278351,Poor
NGC2915,30,769.8642065017718,65.80351167263487,Poor
UGC07399,10,86.47352071034715,25.255062203510963,Poor
F565-V2,7,1526.8778908801582,73.19040069639239,Poor
PGC51017,6,1751.7561066409712,68.34727220386529,Poor
NGC1705,14,509.9630085440255,44.78830721238248,Poor
ESO079-G014,15,105.00964603664528,36.4485147296705,Poor
DDO161,31,2795.098783866007,102.37360136489878,Poor
UGC10310,7,1296.7771984534093,64.86388417270398,Poor
NGC0300,25,806.4599441128461,72.92955915036424,Poor
UGC06446,17,893.7654835888073,68.01589130366652,Poor
DDO170,8,4006.9838465028115,109.64010005243718,Poor
NGC0289,28,1670.6108625400973,199.53165715647648,Poor
UGC06923,6,446.6306151329516,39.753826237043256,Poor
UGC05764,10,507.7238819612963,40.30777123925544,Poor
UGC05829,11,1456.5649719199655,69.3483969890229,Poor
NGC3521,41,252.6365151390506,94.18710578372777,Poor
NGC2683,11,819.5737334782817,122.97061625335452,Poor
UGC07261,7,805.8432388440934,52.76368885573271,Poor
UGC07608,8,759.8477162374743,48.1386538639122,Poor
IC2574,34,2511.9031024306078,97.33624194277738,Poor
UGC06983,17,739.9596661572341,82.41002500759593,Poor
UGC06930,10,1069.603378820097,92.89354357090643,Poor
ESO116-G012,15,219.2756150747296,43.23278567843102,Poor
F571-8,13,170.69850675505648,42.96676872627955,Poor
UGC11455,36,68.75965560780332,59.36989719205549,Poor
UGC06628,7,2784.67590843601,89.19762822657194,Poor
F579-V1,14,367.7978222270433,59.96241569753925,Poor
NGC4085,7,22.76671330130237,11.194274389185917,Poor
UGCA281,7,210.50784797384478,24.524497838100274,Poor
NGC7814,18,161.61067967866245,87.33173373056876,Poor
UGC05414,6,838.871858636693,47.29684580425191,Poor
UGC06787,71,254.91313740026706,114.80075223761654,Poor
NGC2366,26,1134.4826248447682,64.7213946273082,Poor
